frame_index,track_id,class_name,bbox0,bbox1,bbox2,bbox3
15,45,car,669,395,726,430
15,46,car,347,382,397,421
15,47,car,436,383,465,401
15,48,truck,556,385,607,417
15,49,car,473,387,492,399
15,51,car,862,409,942,441
15,53,car,1060,420,1120,458
15,54,car,491,386,510,400
16,45,car,670,393,728,430
16,46,car,354,380,402,417
16,47,car,439,382,466,399
16,48,truck,555,383,601,413
16,49,car,473,388,492,400
16,51,car,867,406,959,444
16,53,car,1066,418,1129,458
16,54,car,490,387,510,401
17,45,car,678,399,736,436
17,46,car,360,387,407,423
17,47,car,444,386,472,404
17,48,truck,559,391,604,420
17,51,car,869,413,970,454
17,53,car,1067,419,1131,459
18,45,car,680,401,738,437
18,46,car,363,389,409,425
18,47,car,445,387,474,405
18,48,truck,559,393,602,422
18,51,car,872,415,977,458
20,64,car,690,427,734,459
20,69,car,362,412,417,450
21,45,car,683,421,738,455
21,51,car,872,431,974,473
21,64,car,688,426,730,457
21,69,car,359,412,410,447
21,72,car,608,421,641,443
22,45,car,682,424,735,457
22,51,car,870,433,973,475
22,69,car,356,411,407,447
22,72,car,608,420,640,442
22,78,car,458,411,491,430
23,45,car,683,428,736,461
23,48,truck,540,408,573,429
23,51,car,872,432,971,473
23,54,car,497,405,516,418
23,64,car,684,417,730,451
23,69,car,354,403,408,441
23,72,car,608,419,639,440
23,78,car,455,403,493,425
23,82,car,1117,457,1227,498
24,48,truck,538,411,568,431
24,51,car,874,435,973,476
24,54,car,497,407,516,420
24,64,car,682,414,728,448
24,69,car,351,401,406,439
24,78,car,453,401,493,424
24,82,car,1123,459,1225,498
25,82,car,1123,461,1223,500
26,46,car,423,423,447,441
26,82,car,1123,462,1223,500
26,90,car,580,430,635,464
26,91,car,250,419,303,457
26,93,car,360,422,395,445
26,94,car,1012,465,1124,505
26,96,car,489,427,521,449
26,97,car,299,419,318,430
27,46,car,425,427,445,443
27,90,car,576,433,635,469
27,91,car,246,422,301,462
27,93,car,359,423,396,447
27,94,car,1009,467,1121,507
27,96,car,488,431,522,454
27,97,car,299,420,317,431
28,46,car,430,431,448,444
28,90,car,573,435,631,472
28,91,car,245,425,298,464
28,93,car,356,424,398,451
28,94,car,1012,471,1118,509
28,96,car,487,433,522,457
29,90,car,571,438,630,475
29,91,car,244,428,297,466
29,93,car,355,424,399,454
29,94,car,1011,473,1117,511
29,96,car,487,436,522,461
30,53,car,1142,407,1204,446
31,53,car,1140,406,1201,444
31,108,car,1011,407,1116,444
31,111,truck,373,362,420,401
31,112,car,301,371,315,381
31,113,car,423,372,440,387
31,115,car,578,376,634,414
31,116,car,246,368,304,408
32,53,car,1141,405,1200,443
32,108,car,1010,406,1114,442
32,111,truck,371,359,420,400
32,112,car,296,370,312,381
32,113,car,421,371,436,386
32,115,car,578,376,633,413
32,116,car,245,365,302,405
33,53,car,1139,405,1199,442
33,108,car,1000,405,1106,442
33,111,truck,372,359,420,399
33,112,car,293,369,310,381
33,115,car,578,376,630,411
33,116,car,243,364,302,404
33,121,car,949,392,1027,428
34,53,car,1139,403,1198,441
34,108,car,1009,404,1112,440
34,111,truck,381,358,439,405
34,115,car,578,375,631,410
34,116,car,244,364,301,404
34,121,car,948,391,1030,428
34,122,car,764,381,841,414
34,124,car,491,372,520,394
35,53,car,1139,402,1199,440
35,108,car,1012,403,1115,440
35,111,truck,387,358,447,407
35,115,car,578,375,631,410
35,116,car,244,365,300,404
35,121,car,948,390,1030,428
35,122,car,762,381,842,415
35,124,car,492,372,520,394
36,53,car,1138,401,1198,440
36,108,car,1013,403,1115,439
36,111,truck,392,357,453,408
36,115,car,578,375,631,410
36,116,car,244,364,300,405
36,121,car,948,390,1030,427
36,122,car,763,381,842,415
36,124,car,492,373,519,393
37,53,car,1137,401,1198,441
37,108,car,1014,402,1117,439
37,111,truck,395,357,457,409
37,115,car,579,375,631,410
37,116,car,244,365,300,404
37,121,car,949,390,1029,427
37,122,car,763,381,841,415
37,124,car,492,373,519,393
38,53,car,1137,400,1198,440
38,69,car,370,368,389,382
38,108,car,1013,402,1118,440
38,111,truck,413,354,485,415
38,115,car,578,375,631,410
38,116,car,246,365,300,404
38,121,car,948,390,1029,426
38,122,car,763,381,840,414
38,124,car,491,372,521,394
39,53,car,1137,400,1198,440
39,69,car,371,366,388,378
39,108,car,1011,402,1118,440
39,111,truck,421,351,499,417
39,115,car,578,375,631,410
39,116,car,246,365,300,404
39,121,car,949,389,1029,426
39,124,car,491,372,521,394
40,53,car,1137,400,1198,440
40,108,car,1012,402,1117,440
40,111,truck,422,346,509,420
40,115,car,578,375,631,410
40,116,car,247,365,300,404
40,121,car,948,389,1029,426
40,122,car,762,381,841,414
40,126,car,296,364,314,375
40,127,car,393,367,418,384
41,53,car,1137,400,1197,440
41,108,car,1012,402,1116,439
41,111,truck,425,341,519,423
41,115,car,578,375,632,410
41,116,car,247,365,300,404
41,121,car,949,390,1029,426
41,122,car,762,380,842,414
41,126,car,296,364,315,375
41,127,car,390,367,418,385
42,53,car,1137,400,1196,440
42,108,car,1012,402,1117,440
42,111,truck,434,346,526,426
42,115,car,577,375,632,410
42,116,car,246,364,300,404
42,121,car,948,390,1029,426
42,122,car,763,380,843,414
42,126,car,296,364,315,375
42,127,car,390,367,417,385
42,129,car,577,375,634,410
43,53,car,1137,400,1197,439
43,108,car,1012,402,1117,440
43,111,truck,438,345,534,428
43,115,car,577,374,632,410
43,116,car,248,365,300,404
43,121,car,948,389,1029,426
43,122,car,763,380,843,414
43,126,car,296,365,315,376
43,127,car,390,367,416,385
43,129,car,576,374,634,410
43,130,car,297,370,313,381
43,132,car,327,370,341,379
44,53,car,1137,399,1197,439
44,108,car,1010,402,1118,440
44,116,car,248,365,300,404
44,126,car,295,364,315,376
44,127,car,390,367,415,384
44,130,car,298,370,314,381
44,132,car,326,369,341,379
45,53,car,1137,399,1197,439
45,108,car,1010,401,1118,440
45,116,car,248,364,300,404
45,126,car,295,364,314,376
45,127,car,391,368,415,384
45,130,car,298,370,314,381
45,132,car,326,369,342,379
45,133,truck,757,344,994,451
45,134,car,372,369,394,381
45,135,truck,500,340,655,443
46,53,car,1137,399,1197,439
46,108,car,1010,401,1118,440
46,116,car,249,364,300,404
46,121,car,948,389,1030,426
46,124,car,489,371,518,394
46,126,car,295,364,314,376
46,127,car,392,368,415,384
46,130,car,298,370,314,381
46,132,car,325,368,341,379
46,133,truck,735,346,956,446
46,134,car,372,368,394,381
46,135,truck,507,332,680,449
47,53,car,1137,399,1196,439
47,108,car,1011,401,1118,440
47,116,car,248,364,300,404
47,121,car,948,389,1030,426
47,124,car,490,372,519,394
47,126,car,296,365,315,376
47,127,car,392,368,415,384
47,130,car,298,370,314,381
47,132,car,326,368,341,379
47,133,truck,718,349,923,442
47,134,car,372,369,393,381
47,135,truck,516,331,696,452
48,53,car,1137,399,1197,440
48,64,car,623,358,713,422
48,108,car,1011,401,1118,440
48,115,car,573,374,628,410
48,116,car,248,365,299,404
48,121,car,948,389,1030,426
48,124,car,492,373,519,394
48,126,car,296,365,315,377
48,127,car,393,368,416,383
48,130,car,297,370,314,381
48,132,car,325,368,341,379
48,133,truck,698,350,892,439
48,134,car,373,369,394,381
48,135,truck,523,329,710,455
48,138,car,467,374,485,392
49,53,car,1138,399,1198,440
49,64,car,611,356,705,423
49,72,car,602,362,695,424
49,115,car,572,374,623,408
49,116,car,249,365,298,404
49,124,car,491,373,519,394
49,126,car,295,364,315,376
49,127,car,392,368,414,383
49,130,car,296,370,314,381
49,134,car,372,368,396,382
49,138,car,467,375,485,392
50,64,car,609,354,704,422
50,72,car,598,360,693,424
50,115,car,572,374,622,408
50,116,car,248,365,299,404
50,124,car,492,374,519,394
50,126,car,295,364,316,376
50,127,car,392,369,414,383
50,129,car,585,359,686,422
50,130,car,296,369,315,382
50,134,car,373,368,395,382
50,138,car,467,375,485,392
50,139,truck,783,279,1284,541
51,72,car,598,358,695,424
51,116,car,248,365,299,404
51,124,car,493,374,519,394
51,126,car,295,364,316,376
51,127,car,392,369,414,383
51,129,car,582,361,679,421
51,130,car,298,369,315,381
51,134,car,373,368,395,382
51,138,car,467,375,485,392
51,139,truck,806,261,1338,542
52,116,car,248,364,299,404
52,124,car,492,373,519,394
52,126,car,295,364,316,376
52,127,car,392,369,414,383
52,129,car,576,361,672,421
52,130,car,298,369,315,381
52,138,car,467,375,485,391
52,139,truck,829,226,1415,543
53,116,car,248,364,298,404
53,124,car,492,373,519,393
53,127,car,392,369,414,383
53,129,car,576,359,676,422
53,130,car,298,369,315,381
53,138,car,467,375,485,391
53,139,truck,849,211,1466,545
55,142,car,253,296,314,338
55,146,car,1015,333,1125,371
55,147,truck,523,294,586,340
55,149,car,1145,332,1208,372
55,150,truck,591,308,633,341
56,142,car,256,289,315,329
56,146,car,1013,325,1126,363
56,147,truck,518,287,581,333
56,149,car,1142,324,1204,363
56,150,truck,595,299,637,333
57,142,car,257,285,315,325
57,146,car,1011,319,1130,360
57,147,truck,515,283,575,327
57,149,car,1142,318,1204,357
57,150,truck,594,293,641,329
58,142,car,258,282,314,320
58,146,car,1011,316,1131,357
58,147,truck,526,286,573,321
58,149,car,1145,316,1207,355
58,150,truck,596,289,641,325
58,159,car,321,283,339,294
58,160,car,393,285,424,300
59,142,car,259,281,314,319
59,146,car,1012,316,1131,357
59,147,truck,530,288,572,319
59,149,car,1153,316,1214,355
59,150,truck,595,288,643,325
59,159,car,322,282,339,292
59,160,car,392,284,424,300
60,142,car,260,281,314,319
60,146,car,1012,316,1130,357
60,147,truck,532,286,569,314
60,149,car,1148,315,1210,355
60,150,truck,595,287,643,325
60,159,car,323,281,340,291
60,160,car,393,284,424,299
